,Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
2486,2017-01-13,0.9997,0.079,0.795,0.126,8457.65,8461.05,8373.15,8400.35,190949616
2487,2017-01-16,0.9996,0.069,0.8109999999999999,0.11900000000000001,8390.95,8426.7,8374.4,8412.8,127938836
2488,2017-01-17,0.9997,0.081,0.795,0.12300000000000001,8415.05,8440.9,8378.3,8398.0,125781216
2489,2017-01-18,0.9998,0.067,0.809,0.125,8403.85,8460.3,8397.4,8417.0,168867039
2490,2017-01-19,0.9997,0.07,0.802,0.128,8418.4,8445.15,8404.05,8435.1,170956149
2491,2017-01-20,0.9999,0.076,0.774,0.15,8404.35,8423.65,8340.95,8349.35,208901233
2492,2017-01-23,0.9999,0.065,0.792,0.14400000000000002,8329.6,8404.15,8327.2,8391.5,200993100
2493,2017-01-24,0.9998,0.057,0.8320000000000001,0.111,8407.05,8480.95,8398.15,8475.8,184745781
2494,2017-01-25,0.9998,0.064,0.813,0.12300000000000001,8499.45,8612.6,8493.95,8602.75,301490150
2495,2017-01-27,0.9998,0.077,0.7859999999999999,0.13699999999999998,8610.5,8672.7,8606.9,8641.25,283905821
2496,2017-01-30,0.9998,0.061,0.804,0.135,8635.55,8662.6,8617.75,8632.75,314110760
2497,2017-01-31,0.9995,0.086,0.792,0.122,8629.45,8631.75,8552.4,8561.3,537110119
2498,2017-02-01,0.9999,0.071,0.799,0.129,8570.35,8722.4,8537.5,8716.4,337797412
2499,2017-02-02,0.9999,0.071,0.795,0.134,8724.75,8757.6,8685.8,8734.25,292329202
2500,2017-02-03,0.9992,0.079,0.8059999999999999,0.115,8735.15,8748.25,8707.75,8740.95,196936238
2501,2017-02-06,0.9999,0.07200000000000001,0.79,0.138,8785.45,8814.1,8770.2,8801.05,200403782
2502,2017-02-07,0.9996,0.087,0.784,0.129,8805.7,8809.3,8741.05,8768.3,233294532
2503,2017-02-08,0.9995,0.081,0.7979999999999999,0.12,8774.55,8791.25,8715.0,8769.05,225485726
2504,2017-02-09,0.9995,0.064,0.8270000000000001,0.109,8795.55,8821.4,8724.1,8778.4,193282248
2505,2017-02-10,0.9998,0.068,0.7979999999999999,0.134,8812.35,8822.1,8771.2,8793.55,232947341
2506,2017-02-13,0.9999,0.068,0.774,0.158,8819.8,8826.9,8754.2,8805.05,211180353
2507,2017-02-14,0.9994,0.062,0.8340000000000001,0.10400000000000001,8819.9,8820.45,8772.5,8792.3,194133563
2508,2017-02-15,0.9998,0.08199999999999999,0.784,0.135,8778.95,8807.9,8712.85,8724.7,222828919
2509,2017-02-16,0.9999,0.063,0.8059999999999999,0.131,8739.0,8783.95,8719.6,8778.0,190277738
2510,2017-02-17,0.9999,0.063,0.799,0.138,8883.7,8896.45,8804.25,8821.7,307526025
2511,2017-02-20,1.0,0.057999999999999996,0.768,0.174,8818.55,8886.25,8809.8,8879.2,173022362
2512,2017-02-21,0.9995,0.07,0.818,0.111,8890.75,8920.8,8860.95,8907.85,181091326
2513,2017-02-22,0.9998,0.07,0.8059999999999999,0.124,8931.6,8960.75,8905.25,8926.9,254677956
2514,2017-02-23,0.9997,0.079,0.79,0.131,8956.4,8982.15,8927.55,8939.5,388874096
2515,2017-02-27,0.9984,0.049,0.865,0.086,8943.7,8951.8,8888.65,8896.7,195847099
2516,2017-02-28,0.9986,0.071,0.8290000000000001,0.1,8898.95,8914.75,8867.6,8879.6,302722890
2517,2017-03-01,0.9992,0.07400000000000001,0.8170000000000001,0.109,8904.4,8960.8,8898.6,8945.8,212328974
2518,2017-03-02,0.9997,0.071,0.805,0.124,8982.85,8992.5,8879.8,8899.75,225608140
